'5S_6S-epoxy-18-hydroxy-7E_9E_11Z_14Z_16E-eicosapentaenoate'	'CCC(O)/C=C/C=C\C/C=C\C=C\C=C\[C@@H]1O[C@H]1CCCC(=O)O'
'N_N-diacetylchitobionate'	'CC(=O)N[C@@H](C(=O)O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1NC(C)=O)[C@H](O)CO'
'3-deoxy-3_4-didehydro-CTP'	'Nc1ccn([C@@H]2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)=C[C@H]2O)c(=O)n1'
'discoidol'	'C[C@H]1CCCC2=CCC(C(C)(C)O)C[C@]21C'
'N-benzoyl-L-phenylalaninol'	'O=C(N[C@H](CO)Cc1ccccc1)c1ccccc1'
'a_D-mannosyl-alpha-1->6-inositol-1-phosphate'	'O=P(O)(O)O[C@H]1[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O'
'1-octadecanoyl-2-hexadecanoyl-sn-glycero-3-phosphocholine'	'CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC'
'N-acetyl-D-galactosamino-1_5-lactone'	'CC(=O)N[C@H]1C(=O)O[C@H](CO)[C@H](O)[C@@H]1O'
'15-hydroperoxy-5Z_8Z_11Z_13E-eicosatetraenoate'	'CCCCCC(/C=C/C=C\C/C=C\C/C=C\CCCC(=O)O)OO'
'1_2-di-9Z-octadecenoyl-3-9Z_12Z-octadecadienoyl-sn-glycerol'	'CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC'
'2-O-octanoyl-ADP-D-ribose'	'CCCCCCCC(=O)O[C@H]1C(O)O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)[C@H]1O'
'1-butyrylglycerol'	'CCCC(=O)OCC(O)CO'
'L-alanyl-L-lysine'	'C[C@H](N)C(=O)N[C@@H](CCCCN)C(=O)O'
'S-N-methylglaucine'	'COc1cc2c(cc1OC)-c1c(OC)c(OC)cc3c1[C@H](C2)[N+](C)(C)CC3'
'2-oxophytanate'	'CC(C)CCCC(C)CCCC(C)CCCC(C)C(=O)C(=O)O'
'8_12-diethyl-3-vinylbacteriochlorophyllide_d'	'C=Cc1c(C)c2n3c1=CC1=[N+]4C(=Cc5c(CC)c6c7n5[Mg-2]34[N+]3=C(C=2)[C@@H](C)[C@H](CCC(=O)O)C3=C7CC6=O)C(CC)=C1C'
'dehydroepiandrosterone_3-beta-D-glucoside'	'C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)CC[C@@]43C)[C@@H]1CCC2=O'
'dihydrodigoxigenin'	'C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]1[C@@H]2C[C@@H](O)[C@]2(C)[C@@H]([C@@H]3COC(=O)C3)CC[C@]12O'
'2-all-trans-decaprenylphenol'	'CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1ccccc1O'
'6alpha-hydroxy-17beta-estradiol'	'C[C@]12CC[C@@H]3c4ccc(O)cc4[C@@H](O)C[C@H]3[C@@H]1CC[C@@H]2O'
'serpentine'	'COC(=O)C1=CO[C@@H](C)[C@H]2C[n+]3ccc4c([nH]c5ccccc54)c3C[C@H]12'
'4-hydroxy-L-proline'	'O=C(O)[C@@H]1CC(O)CN1'
'koraiol'	'CC1(C)C[C@H]2[C@@H]1CC[C@](C)(O)[C@H]1CC[C@]21C'
'O-isobutanoyl-R-carnitine'	'CC(C)C(=O)O[C@H](CC(=O)O)C[N+](C)(C)C'
'ubiquinol-7'	'COc1c(O)c(C)c(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)c(O)c1OC'
'2-hydroxyoctadecanal'	'CCCCCCCCCCCCCCCCC(O)C=O'
'1-9Z-octadecenoyl-2-9Z_12Z-octadecadienoyl-sn-glycero-3-phosphoethanolamine'	'CCCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCCCCCC)COP(=O)(O)OCCN'
'TTP'	'Cc1cn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]c1=O'
'1R_2R-pseudoephedrine'	'CN[C@H](C)[C@H](O)c1ccccc1'
'4-2_4-dichlorophenoxybutanoate'	'O=C(O)CCCOc1ccc(Cl)cc1Cl'
'11Z_14Z-eicosadienamide'	'CCCCC/C=C\C/C=C\CCCCCCCCCC(N)=O'
'15-hydroperoxy-8Z_11Z_13E-eicosatrienoate'	'CCCCCC(/C=C/C=C\C/C=C\CCCCCCC(=O)O)OO'
'4-amino-5-hydroxy-3-all-trans-hexaprenylbenzoate'	'CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1cc(C(=O)O)cc(O)c1N'
'2E_15Z_18Z_21Z_24Z_27Z-triacontahexaenoyl-CoA'	'CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O'
'PF1022D'	'CC(C)C[C@H]1C(=O)O[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)O[C@H](Cc2ccccc2)C(=O)N(C)[C@@H](CC(C)C)C(=O)O[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)O[C@H](C)C(=O)N1C'
'dapdiamide_E'	'CC(C)[C@H](NC(=O)[C@H](CN)NC(=O)[C@@H]1O[C@H]1C(N)=O)C(=O)O'
'1_2-dihexadecanoyl-sn-glycero-3-phospho-1D-myo-inositol-3-phosphate'	'CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](OP(=O)(O)O)[C@H]1O)OC(=O)CCCCCCCCCCCCCCC'
'3-diphospho-1D-myo-inositol_1_2_4_5_6-pentakisphosphate'	'O=P(O)(O)O[C@H]1[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H]1OP(=O)(O)OP(=O)(O)O'
'R-octopamine'	'NC[C@H](O)c1ccc(O)cc1'
'9Z_12Z-pentadecadienoyl-CoA'	'CC/C=C\C/C=C\CCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O'
'kinetensin'	'CC[C@H](C)[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)O'
'1-hexadecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine'	'CCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCC[N+](C)(C)C'
'N-5Z_8Z_11Z_14Z-eicosatetraenoyl-1_2-di-9Z-octadecenoyl-sn-glycero-3-phosphoethanolamine'	'CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCCOP(=O)(O)OC[C@@H](COC(=O)CCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC'
'11R-hydroxy-5Z_8Z_12E_14Z_17Z-eicosapentaenoate'	'CC/C=C\C/C=C\C=C\[C@H](O)C/C=C\C/C=C\CCCC(=O)O'
'beta-sesquiphellandrene'	'C=C1C=C[C@@H]([C@@H](C)CCC=C(C)C)CC1'
'Z-2-methylaminoacrylate'	'C/C(=C/N)C(=O)O'
'1S_2S-1_2-dihydrobenzene-1_2-diol'	'O[C@H]1C=CC=C[C@@H]1O'
'3beta-androst-5-en-17-one_3-O-beta-D-glucuronate'	'C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O[C@@H]5O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]5O)CC[C@@]43C)[C@@H]1CCC2=O'
'17alpha-sitoindoside_IX'	'CC1=C(CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C(=O)O[C@@H]([C@@H](C)[C@@]2(O)CC[C@H]3[C@@H]4C[C@H]5O[C@]56[C@@H](O)C=CC(=O)[C@]6(C)[C@H]4CC[C@@]32C)C1'
'S-2-benzylsuccinyl-CoA'	'CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)[C@H](CC(=O)O)Cc1ccccc1'
'alpha-cryptoxanthin'	'CC1=C[C@H](O)CC(C)(C)[C@H]1/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C'
'6beta-hydroxyprogesterone'	'CC(=O)[C@H]1CC[C@H]2[C@@H]3C[C@@H](O)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C'
'2-methylsulfanylacetaldehyde'	'CSCC=O'
'plus-abscisic_acid_D-glucopyranosyl_ester'	'CC1=CC(=O)CC(C)(C)[C@@]1(O)/C=C/C(C)=C\C(=O)OC1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O'
'1-hexadecanoyl-2-5Z_8Z_11Z_14Z-eicosatetraenoyl-sn-glycero-3-phosphate'	'CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)O'
'5Z-3-3_4-dihydroxyphenyl-5-3_4-dihydroxyphenylmethylidene-5-oxo-2_5-dihydrofuran-3-olate'	'O=C1O/C(=C\c2ccc(O)c(O)c2)C(O)=C1c1ccc(O)c(O)c1'
'1-O-hexadecylglycerol'	'CCCCCCCCCCCCCCCCOCC(O)CO'
'N-32-hydroxydotriacontanoyl-sphing-4-enine'	'CCCCCCCCCCCCC/C=C/[C@@H](O)[C@H](CO)NC(=O)CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCO'
'2E_10Z_13Z_16Z_19Z_22Z_25Z-octacosaheptaenoyl-CoA'	'CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O'
'N-acetyl-alpha-D-galactosaminyl-1->3-N_N-diacetyl-alpha-D-bacillosaminyl-tri-trans_hepta-cis-undecaprenyl_diphosphate'	'CC(=O)N[C@H]1[C@H](O[C@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2NC(C)=O)[C@@H](NC(C)=O)[C@@H](OP(=O)(O)OP(=O)(O)OC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)O[C@@H]1C'
'N-octadecanoyl-sphinga-4E_14Z-dienine'	'CCC/C=C\CCCCCCCC/C=C/[C@@H](O)[C@H](CO)NC(=O)CCCCCCCCCCCCCCCCC'
'1-9Z_12Z-octadecadienoyl-glycerol'	'CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCC(O)CO'
'9-cis-retinyl_tetradecanoate'	'CCCCCCCCCCCCCC(=O)OC/C=C(C)/C=C/C=C(C)\C=C\C1=C(C)CCCC1(C)C'
'2_3_6_8_9-pentahydroxy-1-oxo-3-2-oxopropyl-1_2_3_4-tetrahydroanthracene-2-carboxylate'	'CC(=O)CC1(O)Cc2cc3cc(O)cc(O)c3c(O)c2C(=O)C1(O)C(=O)O'
'precorrin-8X'	'CC1=C(CCC(=O)O)C2=N[C@@]1(C)CC1=N/C(=C(/C)C3=N[C@@](C)([C@@H]4N=C(C2C)[C@](C)(CCC(=O)O)[C@H]4CC(=O)O)[C@@](C)(CC(=O)O)[C@@H]3CCC(=O)O)[C@@](C)(CC(=O)O)[C@@H]1CCC(=O)O'
'monodehydro-L-ascorbate_radical'	'[O]C1=C(O)C(=O)O[C@@H]1[C@@H](O)CO'
'D-maltotetraono-1_5-lactone'	'O=C1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O'
'lithocholoyl-3-O-beta-D-glucuronate'	'C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O[C@@H]5O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]5O)CC[C@]4(C)[C@H]3CC[C@@]21C'
'1-hexadecanoyl-2-5-hydroxypentanoyl-sn-glycero-3-phosphoethanolamine'	'CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCO'
'nonanedioate'	'O=C(O)CCCCCCCC(=O)O'
'11Z_14Z_17Z-eicosatrienoyl-cholesterol'	'CC/C=C\C/C=C\C/C=C\CCCCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@@]2(C)[C@H]3CC[C@@H]2[C@H](C)CCCC(C)C)C1'
'4-hydroxy-6-2-oxoheptadecylpyran-2-one'	'CCCCCCCCCCCCCCCC(=O)Cc1cc(O)cc(=O)o1'
'O-2-acetamidoethyl-L-serine'	'CC(=O)NCCOC[C@H](N)C(=O)O'
'proatranorin_I'	'COC(=O)c1c(C)cc(OC(=O)c2c(C)cc(O)c(C)c2O)c(C)c1O'
'2-9Z_12Z-octadecadienoyl-sn-glycero-3-phosphoethanolamine'	'CCCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@H](CO)COP(=O)(O)OCCN'
'1-4Z_7Z_10Z_13Z_16Z_19Z-docosahexaenoyl-N-acetyl-sphing-4-enine'	'CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC[C@H](NC(C)=O)[C@H](O)/C=C/CCCCCCCCCCCCC'
'betaenone_C'	'CC[C@@H](C)[C@H]1[C@](C)(O)C(=O)[C@H]2C[C@](C)(O)C[C@@H](C)[C@@H]2[C@@]1(C)C(=O)/C=C\O'
'2-O-5Z_8Z_11Z_14Z-eicosatetraenylglycerol'	'CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCOC(CO)CO'
'1-4Z_7Z_10Z_13Z_16Z_19Z-docosahexaenoyl-glycerol'	'CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OCC(O)CO'
'1-hydroxy-6-methoxyphenazine'	'COc1cccc2nc3c(O)cccc3nc12'
'dermatan_4_6-bissulfate'	'CC(=O)N[C@H]1[C@H](O)O[C@H](COS(=O)(=O)O)[C@H](OS(=O)(=O)O)[C@@H]1O[C@@H]1O[C@@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O'
'1_5-bisdiphospho-1D-myo-inositol_2_3_4_6-tetrakisphosphate'	'O=P(O)(O)O[C@H]1[C@H](OP(=O)(O)OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H]1OP(=O)(O)O'
'1-1_2-di-9Z-octadecenoyl-sn-glycero-3-phospho-3-1-9Z-octadecenoyl-2-9Z_12Z-octadecadienoyl-sn-glycero-3-phospho-glycerol'	'CCCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCCCCCC)COP(=O)(O)OCC(O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC'
'2E-tricosenoyl-CoA'	'CCCCCCCCCCCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O'
'berkeleyone_A'	'C=C1[C@@]2(C)C[C@H]3[C@]4(C)CC[C@@H](O)C(C)(C)[C@H]4CC[C@]3(C)[C@]1(C(=O)OC)C(=O)[C@@](C)(O)C2=O'
'asperterpenoid_A'	'CC(C)[C@H]1CC[C@@]2(C)CC[C@]3(CO)CC4=C(C(=O)O)CC[C@H]4[C@]4(C)C[C@@H]4[C@H]3[C@H]12'
'heptadecan-1-ol'	'CCCCCCCCCCCCCCCCCO'
'diosgenin_3-O-beta-D-glucoside'	'C[C@H]1[C@H]2[C@H](C[C@H]3[C@@H]4CC=C5C[C@@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)CC[C@]5(C)[C@H]4CC[C@@]32C)O[C@]12CC[C@@H](C)CO2'
'2-dodecanoyl-sn-glycero-3-phosphocholine'	'CCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)(O)OCC[N+](C)(C)C'
'oxidized_coenzyme_F420-2'	'C[C@H](OP(=O)(O)OC[C@@H](O)[C@@H](O)[C@@H](O)Cn1c2nc(=O)[nH]c(=O)c-2cc2ccc(O)cc21)C(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)O'
'3-O-propanoyl-ADP-D-ribose'	'CCC(=O)O[C@@H]1[C@@H](COP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)OC(O)[C@@H]1O'
'R-tetrahydropapaverine'	'COc1ccc(C[C@H]2NCCc3cc(OC)c(OC)cc32)cc1OC'
'11-oxo-5Z_8Z_12E_14Z-eicosatetraenoate'	'CCCCC/C=C\C=C\C(=O)C/C=C\C/C=C\CCCC(=O)O'
'alpha-Neu5Ac-2->3-beta-D-Gal-1->4-alpha-L-Fuc-1->3-beta-D-GlcNAc-1->3-beta-D-Gal-1->4-alpha-L-Fuc-1->3-beta-D-GlcNAc-1->3-beta-D-Gal-1->4-beta-D-GlcNAc'	'CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O[C@@H]5O[C@H](CO)[C@@H](O[C@@H]6O[C@H](CO)[C@H](O)[C@H](O[C@]7(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O7)[C@H]6O)[C@H](O[C@@H]6O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]6O)[C@H]5NC(C)=O)[C@H]4O)[C@H](O[C@@H]4O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]4O)[C@H]3NC(C)=O)[C@H]2O)[C@@H]1O'
'2-aminoisobutanoate'	'CC(C)(N)C(=O)O'
'peniphenone_D'	'CC(=O)c1cc(C)c(O)c(CC2=C(O)[C@@H](C)OC2=O)c1O'
'8S-hydroperoxy-14S_15R-epoxy-5Z_9E_11Z-eicosatrienoate'	'CCCCC[C@H]1O[C@H]1C/C=C\C=C\[C@H](C/C=C\CCCC(=O)O)OO'
'1-O-hexadecyl-2-acetyl-3-octanoyl-sn-glycerol'	'CCCCCCCCCCCCCCCCOC[C@H](COC(=O)CCCCCCC)OC(C)=O'
'alpha-Neu5Ac-2->3-beta-D-Gal-1->4-alpha-L-Fuc-1->3-beta-D-GlcNAc-1->3-beta-D-Gal-1->4-beta-D-GlcNAc-1->3-beta-D-Gal-1->4-beta-D-GlcNAc'	'CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O[C@@H]5O[C@H](CO)[C@@H](O[C@@H]6O[C@H](CO)[C@H](O)[C@H](O[C@]7(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O7)[C@H]6O)[C@H](O[C@@H]6O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]6O)[C@H]5NC(C)=O)[C@H]4O)[C@H](O)[C@H]3NC(C)=O)[C@H]2O)[C@@H]1O'
'1-hexadecanoyl-2-9Z-octadecenoyl-sn-glycero-3-phosphate'	'CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)O'
'biotinyl-CoA'	'CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCCC[C@H]1SC[C@H]2NC(=O)N[C@H]21'
'4-methylamino-L-phenylalanine'	'CNc1ccc(C[C@H](N)C(=O)O)cc1'
'17beta-hydroxy-3-oxo-19-nor-5alpha-androst-1-ene'	'C[C@]12CC[C@@H]3C4=CCC(=O)C[C@@H]4CC[C@H]3[C@@H]1CC[C@@H]2O'
